"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_F_FENT"	"P.Value_NAC_M_FENT"	"P.Value_NAC_FENT"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_NAC_F_FENT"	"logFC_NAC_M_FENT"	"logFC_NAC_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000113999"	"Gm47681"	"processed_pseudogene"	"predicted gene, 47681 [Source:MGI Symbol;Acc:MGI:6096782]"	0.999572211131447	0.0415865345182668	0.164190473561713	5.68258657748227e-26	6.79671771715658e-23	0.0977510714222256	0.0251520914198222	0.000186617404654088	-0.663071799390048	-0.331442590992697	-3.85602885669346	-3.70427211565471	0.368058586889509	0.576005618708972
"ENSMUSG00000114003"	"Gm9616"	"processed_pseudogene"	"predicted gene 9616 [Source:MGI Symbol;Acc:MGI:3780024]"	0.527598130127919	0.851544994345905	0.734455693983482	3.19580668414754e-12	3.71031395639128e-09	0.153963168560473	0.0579444740066975	0.0743388271364736	-0.0201996222739531	0.0270696024312602	-0.624197978008473	-0.548688001518503	-0.10664211938044	-0.163650640137527
"ENSMUSG00000114004"	"Gm48552"	"protein_coding"	"predicted gene, 48552 [Source:MGI Symbol;Acc:MGI:6098105]"	0.411770078190512	0.254538377550746	0.865946787714599	0.70160449829438	0.0389147552853133	0.189925262679258	0.684376895042929	0.231299491141741	-0.295717616873589	-0.0322090628659238	0.0659734246744374	0.40118268630067	-0.234199857629337	0.0826994845235588
"ENSMUSG00000114019"	"Gm47155"	"TEC"	"predicted gene, 47155 [Source:MGI Symbol;Acc:MGI:6095924]"	0.415077135141181	0.615607029950154	0.793470001804512	8.23709330550989e-14	2.07094715206936e-12	0.135259770072251	0.0190532039799977	-0.191254231052668	0.108040246185401	-0.0416069924336333	1.37914879803715	1.39611982803821	0.222731949184627	0.406335071367932
"ENSMUSG00000114028"	"9630002D21Rik"	"lncRNA"	"RIKEN cDNA 9630002D21 gene [Source:MGI Symbol;Acc:MGI:2442274]"	0.70160515636514	0.713542436127373	0.972978218157575	3.54897018241726e-28	6.82988532117526e-25	0.168982454952646	0.46303827934824	-0.155931566974809	0.137224719150794	-0.00935342391200744	-4.9741369137028	-4.75414881722205	-0.355964586066505	-0.216431885459275
"ENSMUSG00000114038"	"Gm40999"	"lncRNA"	"predicted gene, 40999 [Source:MGI Symbol;Acc:MGI:5623884]"	0.258521783768454	0.38484525266014	0.157263697773584	1.23049666908676e-27	4.06846181164961e-23	0.0964932556102623	0.454084298650884	-0.490310449539484	-0.345623121372402	-0.417966785455943	-5.15347223222238	-4.64237921370201	-0.458156098968764	0.234321469293108
"ENSMUSG00000114045"	"Gm34220"	"TEC"	"predicted gene, 34220 [Source:MGI Symbol;Acc:MGI:5593379]"	0.22750672884099	0.506797706165698	0.65705368212196	0.141831152227152	0.0216334990764374	0.0453698996011933	0.843562680420622	0.329535488935774	-0.16579088506041	0.081872301937682	-0.246375795087253	-0.432785366859719	0.34869865550006	-0.0387526825131691
"ENSMUSG00000114051"	"Gm48008"	"lncRNA"	"predicted gene, 48008 [Source:MGI Symbol;Acc:MGI:6097313]"	0.693769283524708	0.544777028633713	0.904370964338646	1.03442959844358e-11	2.34392007985911e-08	0.271964304956319	0.369961342234348	0.162618241390455	-0.229953190857244	-0.0336674747333943	-2.11678225514975	-1.79558565762344	0.287665829291522	0.268628057118079
"ENSMUSG00000114063"	"Gm47555"	"processed_pseudogene"	"predicted gene, 47555 [Source:MGI Symbol;Acc:MGI:6096575]"	0.363884909992194	0.281558524015681	0.164042930238504	0.0223377498710489	0.000891754073611789	0.603393301209636	0.489502116850296	-0.56034183966358	-0.611282530429031	-0.585812185046306	0.879688374232728	1.4545743257578	-0.201902700892204	-0.308112587112639
"ENSMUSG00000114081"	"Gm48904"	"TEC"	"predicted gene, 48904 [Source:MGI Symbol;Acc:MGI:6098675]"	0.766930521390324	0.961934548548601	0.80213757929255	0.00163576942796235	0.00772240633436605	0.423139643141617	0.38969319840781	0.191654378407303	0.0283372334043868	0.109995805905845	-1.30076654450743	-1.20502468091731	0.327698411815796	0.403523360078662
