"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_PFC_F_FENT"	"P.Value_PFC_M_FENT"	"P.Value_PFC_FENT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_PFC_F_FENT"	"logFC_PFC_M_FENT"	"logFC_PFC_FENT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000037206"	"Islr"	"protein_coding"	"immunoglobulin superfamily containing leucine-rich repeat [Source:MGI Symbol;Acc:MGI:1349645]"	0.195623408291298	0.116602695940524	0.0475002955464574	7.0217697217821e-05	3.28656080527833e-06	0.626094738679874	0.0570442930742019	0.683945561094795	0.689046753411629	0.686496157253212	-1.34813446426955	-1.69653302088541	0.154474615763696	0.701538034959084
"ENSMUSG00000037210"	"Fam193a"	"protein_coding"	"family with sequence homology 193, member A [Source:MGI Symbol;Acc:MGI:2447768]"	0.14477522733656	0.116882017166922	0.0353890441727746	9.30447180306569e-17	4.87546194660838e-19	0.0176448539493674	0.450209387132764	-0.128231294070348	-0.114339442003471	-0.12128536803691	0.602171414899342	0.713271901357294	0.127845268871177	0.0456306807902407
"ENSMUSG00000037211"	"Spry1"	"protein_coding"	"sprouty RTK signaling antagonist 1 [Source:MGI Symbol;Acc:MGI:1345139]"	0.815436224270154	0.129453135432001	0.426854326441165	1.95201503028818e-08	2.57725861677694e-06	0.272858732285077	0.341083773988938	-0.0461041048277528	0.250370314173574	0.10213310467291	0.769323081427081	0.646607018794351	-0.131354538995353	0.130554428259935
"ENSMUSG00000037216"	"Lipt1"	"protein_coding"	"lipoyltransferase 1 [Source:MGI Symbol;Acc:MGI:3645211]"	0.00551933012171095	0.75919371083256	0.0477037992805448	0.00506877248830199	0.736811944410669	0.48742339428967	0.0291056933917859	0.68986885651728	-0.0610857848853159	0.314391535815982	0.420795604378405	0.0511548542185857	0.101026116079816	0.370548391886017
"ENSMUSG00000037217"	"Syn1"	"protein_coding"	"synapsin I [Source:MGI Symbol;Acc:MGI:98460]"	0.911606703025134	0.119049135828465	0.359818063559864	1.94275365482719e-15	9.01654301287459e-15	0.35380601991843	0.133532490473661	0.0115866226566244	-0.136111269992361	-0.0622623236678681	0.668904264581708	0.673802689995276	0.058620986540407	-0.109361455349261
"ENSMUSG00000037221"	"Mospd3"	"protein_coding"	"motile sperm domain containing 3 [Source:MGI Symbol;Acc:MGI:1916179]"	0.116727141496009	0.700308808535498	0.331379151824583	0.000585429856422333	0.0185707183675767	0.185682446037746	0.46784683188582	-0.235682836067178	0.0474201344377705	-0.0941313508147037	-0.324627718452652	-0.226652414616258	0.11965248898715	-0.0748406236463137
"ENSMUSG00000037224"	"Zfyve28"	"protein_coding"	"zinc finger, FYVE domain containing 28 [Source:MGI Symbol;Acc:MGI:2684992]"	0.372424244678035	0.916671396338256	0.534239891829206	3.65689160418461e-16	3.24484984719848e-10	0.6680424462852	0.558117548333798	0.12378629892462	-0.0119842786994413	0.0559010101125894	0.92432021481889	0.655926243943127	-0.0358281584305806	0.0561187763787649
"ENSMUSG00000037225"	"Fgf2"	"protein_coding"	"fibroblast growth factor 2 [Source:MGI Symbol;Acc:MGI:95516]"	0.00034248489245479	0.0943167172638952	0.0704080121798392	1.51997366617889e-12	1.79033863487106e-14	1.20571776648859e-05	5.69875183549487e-08	-0.472046301563489	0.17489669143878	-0.148574805062355	0.667644093756443	0.791036287748016	-0.358090672049984	-0.533283742007121
"ENSMUSG00000037234"	"Hook3"	"protein_coding"	"hook microtubule tethering protein 3 [Source:MGI Symbol;Acc:MGI:2443554]"	0.97908919748663	0.618534487606335	0.766001642479641	1.41635932513955e-19	1.44123442417615e-16	0.00128997534098852	0.00750000404096672	0.00318989010191384	-0.0502328512032006	-0.0235214805506434	0.977296716811858	0.871890500862128	0.247122721819862	0.232085015020386
"ENSMUSG00000037235"	"Mxd4"	"protein_coding"	"Max dimerization protein 4 [Source:MGI Symbol;Acc:MGI:104991]"	0.79319130266277	0.373423474097888	0.441510851461007	0.064290598863457	0.319525329420463	0.000313094309809133	0.00699109665926559	-0.0343986616064589	-0.0970041237470047	-0.0657013926767318	-0.14862003647534	-0.0829273774483124	0.301746613423258	0.252476407954924
