"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_INPUT_F_FENT"	"P.Value_INPUT_M_FENT"	"P.Value_INPUT_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_INPUT_F_FENT"	"logFC_INPUT_M_FENT"	"logFC_INPUT_FENT"
"ENSMUSG00000071478"	"H2ac7"	"protein_coding"	"H2A clustered histone 7 [Source:MGI Symbol;Acc:MGI:2448289]"	9.5728298205741e-05	0.00379806009028743	0.00116512158664962	0.428328855806384	0.994604442349422	0.230872267084314	0.392828615722188	-0.591784778152028	-0.472467014690791	-0.497467944933953	-0.121848931874996	0.00135848688890222	0.242155438374411	0.121756962631657
"ENSMUSG00000071489"	"Ptgdr"	"protein_coding"	"prostaglandin D receptor [Source:MGI Symbol;Acc:MGI:102966]"	0.500767081013877	0.667952191641795	0.00580924771995383	0.0434949259674189	0.958554704723426	0.582480372517267	0.670355190637085	-0.240321237589642	-0.169559442850622	-1.0463821866379	-0.790459107574347	0.0261825752306014	0.27733779805301	0.151760186641806
"ENSMUSG00000071497"	"Nutf2-ps1"	"protein_coding"	"nuclear transport factor 2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:108008]"	6.55066185038893e-05	0.00150188748788274	0.0034626390143509	0.391495020508611	0.601855072922532	0.581508178043198	0.448600238958279	-0.407073590944655	-0.349773334634105	-0.297507180700085	-0.0883757946354464	0.070313787327235	0.0742924528415818	0.0723031200844084
"ENSMUSG00000071516"	"H2ac13"	"protein_coding"	"H2A clustered histone 13 [Source:MGI Symbol;Acc:MGI:2448457]"	0.0186245608509069	0.0504012174591452	0.581751201756175	0.851294849560195	0.791474373290896	0.716750704790633	0.657528605840454	-0.495499020207096	-0.453467465922366	-0.116929943405137	-0.0416532972150012	-0.0769284164869966	-0.105588679381169	-0.091258547934083
"ENSMUSG00000071528"	"Atp5mk"	"protein_coding"	"ATP synthase membrane subunit k [Source:MGI Symbol;Acc:MGI:1891435]"	6.23195634282636e-19	6.96785741403324e-15	4.49878366634964e-14	3.82674382568375e-10	0.313244758548507	0.57938331858102	0.74627396212565	-1.27448772687673	-1.12830935466128	-0.998619572540522	-0.797561142707115	0.141842210453166	-0.0777294217752171	0.0320563943389742
"ENSMUSG00000071531"	"Gprin2"	"protein_coding"	"G protein regulated inducer of neurite outgrowth 2 [Source:MGI Symbol;Acc:MGI:2444560]"	3.21741978010831e-22	4.85246376195702e-20	9.32336021222371e-20	2.92601784971745e-17	0.376787154690475	0.95359520218224	0.504819718342984	1.50681878936597	1.49986593973947	1.37450376942791	1.26241751427735	-0.124524558559662	-0.00817192392533528	-0.0663482412424985
"ENSMUSG00000071532"	"Gm10335"	"processed_pseudogene"	"predicted gene 10335 [Source:MGI Symbol;Acc:MGI:3641693]"	1.95604098745575e-19	2.86552193994867e-16	5.39520385732426e-15	5.67133936290549e-12	0.887489868935606	0.576732304282324	0.620783387442628	-1.07113156298148	-1.00138517364516	-0.864668399110732	-0.74700823650906	0.0162259291959979	0.0640926633827403	0.0401592962893691
"ENSMUSG00000071533"	"Pcnp"	"protein_coding"	"PEST proteolytic signal containing nuclear protein [Source:MGI Symbol;Acc:MGI:1923552]"	1.66411037019271e-14	6.5934123215497e-10	1.90580836106645e-12	1.48582084432905e-05	0.764706003977421	0.631773559085782	0.582172131964814	-0.450019805189026	-0.363472154923292	-0.406774483773153	-0.227319428868017	0.0189699351921089	0.0303915184483774	0.0246807268202431
"ENSMUSG00000071537"	"Klrg2"	"protein_coding"	"killer cell lectin-like receptor subfamily G, member 2 [Source:MGI Symbol;Acc:MGI:1921503]"	0.00527188506632395	0.237634402519121	0.0648749928328255	0.00960747979062315	0.826308080258504	0.35336171496533	0.61502242109372	-0.782140975026974	-0.357141110882915	-0.523550405477071	-0.780525696812591	0.0841717850547167	-0.357220573457767	-0.136524394201525
"ENSMUSG00000071540"	"3425401B19Rik"	"protein_coding"	"RIKEN cDNA 3425401B19 gene [Source:MGI Symbol;Acc:MGI:3588196]"	1.07511329017435e-06	1.74898443332644e-05	5.24370006094958e-12	4.21435700523604e-11	0.302198885172118	0.511083663892137	0.789291336304468	-1.70199416229938	-1.62228856686691	-2.77164487328595	-2.72356219950033	0.460995186559451	-0.292841337605746	0.0840769244768523
